'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'Shuddha Todi Summer","'84.19390106"
"'1","'LINE","'SAPBSSSIPPPPP DDD Int Inst n-nd-dpp 89","'67.75595093"
"'1","'LINE","'m-mp-p'pp","'19.68630409"
"'1","'LINE","'Shalla out","'64.91455078"
"'1","'LINE","'INW 203 P/P3/11","'35.88704300"
"'1","'LINE","'+203","'64.01335144"
"'1","'LINE","'IP-D-","'76.32085419"
"'1","'LINE","'+","'94.45471954"
"'1","'LINE","'11:","'78.31413269"
"'1","'LINE","'1","'57.30747604"
"'1","'LINE","'n-d","'53.25434113"
"'1","'LINE","'""art","'13.73136520"
"'1","'LINE","'Be","'61.96189499"
"'1","'LINE","'ip p/","'15.22022438"
"'1","'LINE","'?","'94.96990204"
"'1","'LINE","'S5","'24.39632607"
"'1","'LINE","'11:m 1-M 2x P 2x 0 1% d-p- 15 + IW 8X 15-5-15--","'55.82169724"
"'1","'LINE","'11-99 + MTR + R + P-AdP-15","'76.33311462"
"'1","'LINE","'/V/V IVVV","'54.46737289"
"'1","'LINE","'NJSX","'25.22819710"
"'1","'LINE","'11","'26.23056793"
"'1","'LINE","'them -5-Rlg R-sn-f-sr dept SFS'R-R'M-MP-","'50.98709869"
"'1","'LINE","'+ p-d","'70.90441895"
"'1","'LINE","'/X m pd pls S -11","'40.21534348"
"'1","'LINE","'P sndp midi-154x","'59.62996674"
